SuperBuiltUp Area,Area,Carpet Area,Price,FloorNumber,Parking,Furnishing,Location,Flooring,Bathrooms,Bedrooms,Balconies,Property
,665,,17,2,,,Mumbra,,1,2,0,Independent/Builder Floor
550,435,385,28,2,1,Furnished,Nalasopara (West),Vitrified,1,1,2,Residential Apartment
1450,1375,1000,280,9,1,Semifurnished,Hiranandani Meadows,Marble,3,3,1,Residential Apartment
2500,2080,1700,345,10,2,Furnished,Hiranandani Estate,Marble,5,5,0,Residential Apartment
,1150,,110,23,1,,Thane West,,2,2,1,Residential Apartment
630,615,,37.65,2,2,Unfurnished,Dombivli (East),IPSFinish,1,1,2,Residential Apartment
637,636,432,64.87,2,1,Semifurnished,Hiranandani Estate,Vitrified,2,1,1,Residential Apartment
,315,,65,1,2,,Sumer Nagar,Vitrified,1,1,0,Residential Apartment
960,700,582,85,8,1,Unfurnished,Dahisar (East),Vitrified,2,2,0,Residential Apartment
1210,,,85,7,1,Unfurnished,Sector 21 Ulwe,Vitrified,2,2,3,Residential Apartment
,,575,33,4,,Unfurnished,Kalyan (East),,1,1,0,Residential Apartment
1350,1250,950,325,17,1,Semifurnished,Chembur (East),Vitrified,3,3,3,Residential Apartment
690,655,504,56,4,1,Unfurnished,Kasar vadavali,Vitrified,2,1,1,Residential Apartment
775,774,483,69.49,3,1,Semifurnished,Ghodbunder Road,Vitrified,1,1,1,Residential Apartment
630,480,380,35,1,2,Semifurnished,Nalasopara (West),Vitrified,1,1,1,Residential Apartment
,,629,25,4,1,,"Lalchakki, Ulhasnagar -421004",Others,1,1,1,Residential Apartment
1377,,900,305,20,2,,JVLR,Vitrified,2,3,2,Residential Apartment
,1011,632,97,9,1,Unfurnished,Charkop,Vitrified,2,1,3,Residential Apartment
,500,,90,2,1,,Vikhroli (East),,1,1,0,Residential Apartment
1100,,726,93,6,2,Unfurnished,kavesar,Ceramic,2,2,3,Residential Apartment
,530,,62,4,,,Shakti Nagar,,1,1,1,Residential Apartment
1650,1450,1080,480,3,1,Unfurnished,Khar West,Marble,3,3,2,Residential Apartment
1335,1300,805,153,12,2,Semifurnished,Sector-30 Belapur,Marble,2,2,2,Residential Apartment
1500,1300,920,375,6,1,,g Road,Marble,3,2,3,Residential Apartment
2000,1900,1305,220,14,2,Semifurnished,Sector-30 Belapur,Wood,3,3,3,Residential Apartment
1310,1305,910,275,3,1,Semifurnished,Sector 15 Belapur,Vitrified,4,3,2,Residential Apartment
,1141,683,170,9,1,Unfurnished,Kandivali (West),Vitrified,2,2,0,Residential Apartment
550,,400,47,2,1,Unfurnished,Mira Road,Vitrified,1,1,2,Residential Apartment
1015,,657,115,10,2,Semifurnished,Manpada,Vitrified,2,2,1,Residential Apartment
650,570,435,32.5,4,1,Unfurnished,Karanjade,Vitrified,2,1,3,Residential Apartment
2150,2050,1470,550,25,1,,Parel,Vitrified,3,3,3,Residential Apartment
688,500,417,60,8,1,Unfurnished,Dahisar (East),Vitrified,2,1,0,Residential Apartment
1810,1650,1135,269,20,2,Unfurnished,Kandivali (East),Marble,3,3,1,Residential Apartment
1750,1550,1050,260,10,1,Semifurnished,Bhandup (West),Vitrified,3,3,1,Residential Apartment
734,,,67,1,2,Semifurnished,Sector 6 Kamothe,Vitrified,1,1,3,Residential Apartment
1440,,,165,5,1,Unfurnished,Sector-6 Kharghar,Vitrified,3,3,3,Residential Apartment
1500,1465,995,162,15,2,Unfurnished,Pokhran-2,,3,3,3,Residential Apartment
1100,1050,750,135,24,1,Semifurnished,Ghodbunder Road,,2,2,3,Residential Apartment
1760,1495,1150,170,10,1,Unfurnished,Sector 12 Kharghar,Vitrified,3,3,3,Residential Apartment
1055,,620,90,5,2,Semifurnished,Thane West,Vitrified,2,2,1,Residential Apartment
,365,,25,,1,,Sector 15 Belapur,,1,1,0,Residential Apartment
1737,,1086,138,18,2,Semifurnished,Ghodbunder Road,Marble,3,3,2,Residential Apartment
744,,,75,13,1,Unfurnished,Ghodbunder Road,Vitrified,1,1,1,Residential Apartment
490,,,35,,,Unfurnished,Vasai West,Marble,1,1,0,Residential Apartment
1020,,,52,6,,Semifurnished,Sector-11 Taloja,Vitrified,2,2,3,Residential Apartment
1000,,700,140,7,1,Semifurnished,Lokhandwala township,Vitrified,2,2,1,Residential Apartment
1255,1100,640,81,9,1,Unfurnished,Sector 21 Ulwe,Vitrified,2,2,2,Residential Apartment
664,590,415,39.5,6,1,Unfurnished,Thane West,Vitrified,1,1,0,Residential Apartment
1220,,,94,5,1,Unfurnished,Sector-3 Ulwe,Vitrified,2,2,3,Residential Apartment
,,1074,170,1,1,Unfurnished,Thane West,Vitrified,3,3,0,Residential Apartment
1060,,571,87.67,4,1,Unfurnished,Mira Road East,Vitrified,2,2,3,Residential Apartment
2165,,1650,405,23,2,Semifurnished,Hiranandani Estate,Marble,5,4,3,Residential Apartment
1255,,823,151,8,1,Furnished,Lokhandwala township,Vitrified,3,3,2,Residential Apartment
625,,,28,4,,Unfurnished,Sector-26 Taloja,,1,1,3,Residential Apartment
970,969,670,69.8,8,1,Unfurnished,Kanchangoan,Vitrified,2,2,2,Residential Apartment
1737,,1086,137,16,2,Furnished,Ghodbunder Road,Marble,3,3,2,Residential Apartment
1026,,743,90.11,12,1,Unfurnished,Ghodbunder Road,Vitrified,2,2,1,Residential Apartment
,,225,45,12,,,DN Nagar,,1,1,0,Residential Apartment
1045,950,,56,6,1,Unfurnished,Taloja Panchanand,Marble,2,2,3,Residential Apartment
650,600,,38.5,4,,Unfurnished,Taloja Panchanand,Marble,1,1,2,Residential Apartment
,,350,26,,,,Mira Bhayandar,Vitrified,1,1,0,Residential Apartment
650,,500,40,3,1,,M I D C,Vitrified,1,1,1,Residential Apartment
949,,620,93,6,2,Semifurnished,Thane West,Vitrified,2,2,0,Residential Apartment
1180,,677,183,13,1,Semifurnished,Borivali (East),Vitrified,2,2,3,Residential Apartment
,,550,105,7,1,,Majiwada,,2,2,0,Residential Apartment
,680,,39.44,8,1,Unfurnished,Sector-8 Ulwe,Vitrified,1,1,2,Residential Apartment
638,,,43,1,3,Unfurnished,Panvel,Vitrified,2,2,3,Residential Apartment
710,,,76,22,1,,kavesar,,2,1,0,Residential Apartment
350,,,35,,,,Malvani,,1,1,1,Independent/Builder Floor
,,915,223,5,2,Unfurnished,Thane West,Marble,2,3,0,Residential Apartment
760,,425,65,12,,Furnished,Mira Road East,Vitrified,2,1,2,Residential Apartment
,880,662,125,7,20,Semifurnished,Hiranandani Estate,,2,2,0,Residential Apartment
1040,,,55,1,1,,Sriprastha,Vitrified,3,2,3,Residential Apartment
,,454,63.96,9,1,Unfurnished,Majiwada,Vitrified,2,1,0,Residential Apartment
505,504,350,43,7,1,Semifurnished,Ghodbunder Road,Vitrified,1,1,2,Residential Apartment
1065,,,80,3,1,Unfurnished,Sector-9 Ulwe,Marble,2,2,2,Residential Apartment
590,,400,87,3,,Semifurnished,Thakur Village,Vitrified,2,1,0,Residential Apartment
531,431,322,75,11,1,Unfurnished,Bandra (East),Vitrified,1,1,1,Residential Apartment
1025,1024,661,142,2,1,Semifurnished,Kanjur marg (west),Vitrified,2,2,2,Residential Apartment
,,511,84.48,14,1,Unfurnished,Dhokali,Vitrified,2,2,1,Residential Apartment
1800,1796,1060,360,7,1,Semifurnished,Chembur,Marble,3,3,0,Residential Apartment
,1120,,172,9,1,,Lokhandwala township,,2,2,3,Residential Apartment
1163,1150,705,170,11,1,Semifurnished,Jogeshwari (West),Vitrified,2,2,1,Residential Apartment
,,549,62.05,5,1,Unfurnished,Kasar vadavali,Vitrified,2,1,0,Residential Apartment
,,675,79.21,3,1,Unfurnished,Kasar vadavali,Vitrified,1,2,0,Residential Apartment
3923,3450,,1600,29,1,Unfurnished,Worli,Vitrified,3,3,1,Residential Apartment
,,679,93.35,7,1,Unfurnished,Manpada,Vitrified,2,2,0,Residential Apartment
,1120,,170,11,1,,Lokhandwala township,,2,2,3,Residential Apartment
565,,520,55,6,15,,Mira Bhayandar,Ceramic,2,1,1,Residential Apartment
726,580,440,99,7,1,Semifurnished,Andheri (East),,2,1,1,Residential Apartment
,,1251,260,5,1,,Hiranandani Estate,Marble,3,3,0,Residential Apartment
2000,1800,1750,780,7,2,,Khar West,,2,2,3,Residential Apartment
1377,,900,335,22,2,,JVLR,Vitrified,2,3,2,Residential Apartment
,,1464,877,11,1,Unfurnished,Prabhadevi,,3,3,0,Residential Apartment
2205,,,450,35,2,Semifurnished,Goregaon (East),,3,3,1,Residential Apartment
,1025,715,115,12,1,,Hiranandani Estate,,2,2,1,Residential Apartment
1377,1300,900,311,27,1,Semifurnished,Wadala,Vitrified,2,2,1,Residential Apartment
682,575,445,68,18,1,,Ghodbunder Road,Vitrified,1,1,2,Residential Apartment
,500,425,38,5,1,,Kharghar,Vitrified,1,1,3,Residential Apartment
2200,1930,1335,574,8,2,Semifurnished,Dadar (East),Vitrified,3,3,1,Residential Apartment
,700,,70,1,,,Dombivli (East),,1,2,0,Residential Apartment
2210,1936,1335,574,10,2,Semifurnished,Dadar (East),Vitrified,4,4,1,Residential Apartment
1200,1000,850,107,6,1,Unfurnished,Sector 7 Kharghar,Vitrified,2,2,3,Residential Apartment
,334,,26,4,1,,Thane West,Vitrified,1,1,0,Other
882,,550,99,24,1,,Kolshet Road,,2,2,0,Residential Apartment
476,,333,25,,,,Neral,,1,1,1,Residential Apartment
991,,689,111,24,1,Semifurnished,Vijay Nagari,Vitrified,2,2,2,Residential Apartment
1215,,868,287,27,1,Semifurnished,Goregaon (East),,2,2,2,Residential Apartment
938,650,450,45,3,1,Unfurnished,Phase-1 Petali,Vitrified,2,2,3,Residential Apartment
2450,2425,1818,465,19,2,Semifurnished,Thane West,Marble,4,4,2,Residential Apartment
,,567,82,15,1,Semifurnished,Balkum,Vitrified,2,2,1,Residential Apartment
530,,371,55,2,1,,Seawoods,,2,1,0,Residential Apartment
1043,1042,695,115,3,1,Semifurnished,Kolshet Road,Vitrified,2,2,2,Residential Apartment
,1575,1050,210,11,2,Unfurnished,Thane West,Vitrified,3,3,3,Residential Apartment
965,,725,225,20,2,Furnished,Wadala West,Vitrified,2,2,0,Residential Apartment
,,1058,169,1,1,Unfurnished,Thane West,Vitrified,3,3,0,Residential Apartment
1200,1100,600,62,5,1,Unfurnished,Sector 5 Ulwe,Vitrified,2,2,2,Residential Apartment
856,855,557,87.21,1,1,Semifurnished,Hiranandani Estate,Vitrified,2,2,2,Residential Apartment
698,697,465,72.8,3,1,Semifurnished,Kolshet Road,Vitrified,2,1,1,Residential Apartment
600,557,470,65,4,1,Semifurnished,Sector-14 Koparkhairane,Vitrified,1,1,1,Residential Apartment
,625,,22.15,6,,,Titwala,Vitrified,1,1,2,Residential Apartment
725,700,,46,6,1,Semifurnished,Kalyan (West),Vitrified,1,1,1,Residential Apartment
690,550,450,75,6,1,Unfurnished,Sector 11 Koparkhairane,Vitrified,1,1,2,Residential Apartment
1908,,1150,337,36,2,Semifurnished,Mulund (West),,4,4,2,Residential Apartment
,,1011,235,4,1,Unfurnished,Hiranandani Estate,Marble,3,3,0,Residential Apartment
1000,900,659,95,5,1,,Thane West,Vitrified,2,2,1,Residential Apartment
1250,,,163,17,1,Semifurnished,Lokhandwala township,Vitrified,2,2,2,Residential Apartment
695,,,47,4,1,Unfurnished,Ulwe,Vitrified,1,1,2,Residential Apartment
133.78,,,137,20,1,Semifurnished,Kolshet Road,Vitrified,3,3,0,Residential Apartment
1690,,1040,400,23,1,Unfurnished,Goregaon (East),Vitrified,3,3,0,Residential Apartment
,3000,,1300,7,,,Bandra (West),Marble,5,4,1,Residential Apartment
1200,,980,450,4,,,Shivaji Park,,3,2,1,Residential Apartment
1884,1800,1145,215,1,2,Unfurnished,JVLR,Vitrified,3,3,2,Residential Apartment
995,800,650,64.68,10,1,Furnished,Kashimira,Vitrified,2,2,3,Residential Apartment
,805,600,75,,1,Unfurnished,Brahmand,Vitrified,2,2,0,Residential Apartment
646,,,31,4,1,Unfurnished,Karanjade,Vitrified,1,1,2,Residential Apartment
1149,1100,980,75,24,1,Unfurnished,Thane West,Vitrified,3,3,0,Residential Apartment
1225,,,107,16,1,Unfurnished,Kharghar,Vitrified,2,2,1,Residential Apartment
,1250,,130,2,1,Furnished,Sector-16 Koparkhairane,Vitrified,2,2,0,Independent House/Villa
1650,,,121,8,1,Unfurnished,Sector-16 Ulwe,Vitrified,3,3,3,Residential Apartment
,560,460,30.12,1,2,Unfurnished,Dombivli (East),,1,1,1,Residential Apartment
,1450,,150,2,1,Semifurnished,Vashi,,3,3,1,Residential Apartment
550,,,15,4,,,Diva East,,1,1,0,Residential Apartment
1000,,700,135,4,1,Furnished,Lokhandwala township,Vitrified,2,2,1,Residential Apartment
540,,,80.12,1,1,Furnished,Kandivali (East),Vitrified,1,1,0,Residential Apartment
2000,1900,1250,140,17,2,Unfurnished,Manpada,Marble,3,3,2,Residential Apartment
,,1000,500,3,2,,Shivaji Park,Vitrified,2,3,2,Residential Apartment
1120,,789,165,9,1,Furnished,Lokhandwala township,Vitrified,2,2,3,Residential Apartment
690,,,47,5,1,Unfurnished,Sector-18 Ulwe,Wood,2,1,3,Residential Apartment
1706,1550,1034,245,14,2,Unfurnished,Borivali (East),Marble,3,3,0,Residential Apartment
,,1004,233,6,1,Unfurnished,Vishveshwar Nagar,Vitrified,3,3,0,Residential Apartment
650,550,450,38,3,,,Ulwe,Vitrified,1,1,1,Residential Apartment
680,620,,35,4,,Unfurnished,Taloja Panchanand,Marble,1,1,2,Residential Apartment
1030,980,,52,5,1,Unfurnished,Taloja Panchanand,Marble,2,2,3,Residential Apartment
600,,,40,2,,,Ulwe,Vitrified,1,1,1,Residential Apartment
,,720,299,2,1,Unfurnished,Vile Parle (West),,2,2,0,Residential Apartment
,,4368,2500,40,5,Furnished,Lower Parel,Vitrified,5,5,2,Residential Apartment
1795,,1122,709,7,2,Semifurnished,Santacruz (West),,3,3,0,Residential Apartment
,587,520,24.5,2,1,Semifurnished,Purna,Vitrified,2,1,0,Residential Apartment
,810,,69.5,3,2,Furnished,Malvani,Vitrified,2,2,1,Residential Apartment
350,300,260,25.5,1,1,Unfurnished,Ghansoli,,1,1,0,Residential Apartment
1032,,,72.24,6,,,Mira Road,Vitrified,2,2,3,Residential Apartment
1800,,,82.5,1,1,,Mira Road,Vitrified,2,2,3,Residential Apartment
946,945,590,91.21,2,1,Semifurnished,Ghodbunder Road,Vitrified,2,2,2,Residential Apartment
955,750,600,59,4,1,,Ulwe,Vitrified,2,2,2,Residential Apartment
,909,686,55,4,1,Unfurnished,Nilje Gaon,Wood,2,2,1,Residential Apartment
,864,632,54,4,1,Unfurnished,Dombivli (East),Vitrified,2,2,0,Residential Apartment
870,,,70,4,,,Mira Bhayander Highway,Vitrified,2,2,3,Residential Apartment
,864,632,55,4,1,Unfurnished,Dombivli (East),Vitrified,2,2,0,Residential Apartment
,824,666,53,3,1,Semifurnished,Bhayander (East),Marble,2,2,0,Residential Apartment
525,475,370,150,4,1,,Veera Desai Road,Ceramic,2,1,3,Residential Apartment
700,690,,20.6,2,,Unfurnished,Badlapur (West),IPSFinish,1,1,2,Residential Apartment
1018,,700,136,20,1,Unfurnished,Samata Nagar,Vitrified,2,2,1,Residential Apartment
95.32,,,97.47,6,1,Semifurnished,Kolshet Road,Vitrified,2,2,0,Residential Apartment
1015,,750,165,15,1,Furnished,Kandivali (East),Vitrified,2,2,2,Residential Apartment
1540,,1125,207,7,2,Unfurnished,Kandivali (East),Vitrified,3,3,0,Residential Apartment
400,,,68.13,7,,Unfurnished,Kandivali (East),Vitrified,1,1,0,Residential Apartment
,600,410,30,5,5,Semifurnished,Desale Pada,Vitrified,1,1,0,Residential Apartment
760,,,59.15,20,1,,Mira Road East,,2,1,2,Residential Apartment
778,,,58,18,1,,Mira Road East,,2,1,2,Residential Apartment
695,,395,48.65,4,,,Mira Road,Vitrified,2,1,3,Residential Apartment
,,1285,315,10,1,Unfurnished,Jogeshwari (West),,3,3,0,Residential Apartment
1428,,999,120,10,2,Furnished,Mira Road East,Vitrified,3,3,3,Residential Apartment
1070,1000,740,70,10,1,,Roadpali,Vitrified,2,2,2,Residential Apartment
,,400,115,8,1,Unfurnished,Malad (West),Vitrified,2,1,1,Residential Apartment
,817,,28.58,2,1,Unfurnished,Badlapur (East),Vitrified,2,2,3,Residential Apartment
630,,460,115,19,1,Unfurnished,Sarvoday Parshwanath Nagar,Vitrified,2,1,0,Residential Apartment
,915,650,55,11,1,,Dombivli (East),Vitrified,2,2,1,Residential Apartment
,1250,800,115,2,1,Unfurnished,Sector-16 Ulwe,Ceramic,2,2,3,Residential Apartment
995,,,63,5,1,Unfurnished,Sector-8 Ulwe,,2,2,3,Residential Apartment
1750,,,235,4,1,,Kandivali (East),,3,3,3,Residential Apartment
650,,410,85,2,,Unfurnished,Borivali (West),Vitrified,2,1,0,Residential Apartment
700,,,45,7,,,Bhadra Nagar,,2,2,0,Residential Apartment
615,,370,25.53,14,,Semifurnished,Virar West,Vitrified,2,1,3,Residential Apartment
1366,935,,284,12,1,Semifurnished,Powai,Marble,3,3,2,Residential Apartment
,769,,140,9,1,,Lokhandwala township,,2,2,0,Residential Apartment
701,,,43.1,9,,Unfurnished,Hatkesh Udhog Nagar,Vitrified,1,1,2,Residential Apartment
550,,,105,5,,Furnished,Andheri (East),Vitrified,1,1,0,Residential Apartment
1350,,,110,10,,Unfurnished,Mira Road,Vitrified,3,3,3,Residential Apartment
600,480,360,24,7,2,Semifurnished,Morya Nagar,Vitrified,1,1,1,Residential Apartment
1650,1450,1100,171,14,1,,Manpada,Marble,3,3,2,Residential Apartment
1155,,,84,20,,Unfurnished,Mira Road,Vitrified,2,2,3,Residential Apartment
950,,,450,5,1,,Worli,Vitrified,2,2,2,Residential Apartment
927,925,667,60,12,1,Unfurnished,Dombivli (East),Vitrified,2,2,1,Residential Apartment
,,508,84.89,9,1,Unfurnished,Dhokali,Vitrified,2,2,1,Residential Apartment
,495,395,19.81,2,2,Unfurnished,Dombivli (East),,1,1,2,Residential Apartment
875,,,57,12,,Unfurnished,Mira Road,Vitrified,2,2,1,Residential Apartment
400,350,300,34,2,1,Unfurnished,Sector-9 Ghansoli,,1,1,0,Residential Apartment
1165,,734,107,4,1,Unfurnished,Airoli,Vitrified,2,2,3,Residential Apartment
350,300,260,27,,1,Furnished,Ghansoli,Vitrified,1,1,0,Residential Apartment
670,570,450,62,8,1,Unfurnished,Kharghar,Vitrified,1,1,3,Residential Apartment
705,,415,47,3,,,Mira Road,Vitrified,2,1,3,Residential Apartment
1035,1034,728,36.23,2,1,Unfurnished,Badlapur (East),Vitrified,3,3,2,Residential Apartment
,650,,23.5,4,1,,Katrap,Vitrified,1,1,3,Residential Apartment
,340,240,36.22,4,1,Unfurnished,Ekta Nagar,Vitrified,1,1,0,Other
705,,415,45.83,6,,,Mira Road East,Vitrified,1,1,3,Residential Apartment
,650,,22.5,6,1,Unfurnished,Badlapur,Vitrified,2,1,3,Residential Apartment
1350,,,230,7,1,,Kandivali (East),,3,3,3,Residential Apartment
950,,,72,10,1,Unfurnished,Sector 22 Kamothe,Vitrified,2,2,3,Residential Apartment
700,,,52,9,1,Unfurnished,Sector 19 Ulwe,Vitrified,1,1,2,Residential Apartment
1160,1100,860,175,1,1,Furnished,Kandivali (East),Vitrified,3,3,0,Residential Apartment
1359,,850,102,27,1,Furnished,Ghodbunder Road,Marble,2,2,2,Residential Apartment
1024,,,24,2,1,Unfurnished,Shahpur,Vitrified,2,2,2,Residential Apartment
,800,515,46,5,1,Unfurnished,Nilje Gaon,Vitrified,2,2,1,Residential Apartment
,950,650,170,3,1,Unfurnished,J B Nagar,Vitrified,2,2,0,Residential Apartment
,280,250,,1,1,,Dwarli,Vitrified,1,1,0,Independent House/Villa
585,,,42,6,1,Unfurnished,Dombivli (East),,1,1,1,Residential Apartment
760,,428,60.8,16,2,Furnished,Mira Road East,Vitrified,2,1,2,Residential Apartment
,340,240,33.5,4,1,Unfurnished,Ekta Nagar,Vitrified,1,1,0,Other
,340,240,37.2,1,1,Unfurnished,Ekta Nagar,Vitrified,1,1,0,Other
3600,3000,2500,486,11,2,,Bander Pakhadi,Marble,4,4,3,Residential Apartment
1140,1035,750,67,6,1,Unfurnished,Dombivli (East),Vitrified,2,2,2,Residential Apartment
655,,,53,10,1,Unfurnished,Sector 16 Kamothe,Vitrified,2,1,3,Residential Apartment
1251,,823,160,5,1,Furnished,Lokhandwala township,Vitrified,3,3,2,Residential Apartment
650,550,450,41.5,6,1,Unfurnished,Sector 36 Kharghar,Vitrified,1,1,2,Residential Apartment
740,,,59.5,1,,Furnished,Bevarly Park,Vitrified,2,1,3,Residential Apartment
,700,450,82,10,,Unfurnished,agar,Vitrified,2,1,3,Residential Apartment
565,400,290,25,4,2,Semifurnished,Morya Nagar,Vitrified,1,1,1,Residential Apartment
650,,400,105,1,1,Unfurnished,Borivali (West),Ceramic,2,1,0,Residential Apartment
585,584,425,35,5,1,Unfurnished,Nilje Gaon,Vitrified,1,1,1,Residential Apartment
1080,,,74.52,5,,,Mira Road East,Vitrified,2,2,3,Residential Apartment
675,652.5,,40,4,,Unfurnished,Budhaji Nagar,Ceramic,1,1,0,Residential Apartment
701,,,42.15,6,,Unfurnished,Hatkesh Udhog Nagar,Vitrified,1,1,2,Residential Apartment
1366,1300,935,291,22,,Semifurnished,Powai,Marble,3,3,2,Residential Apartment
1026,,,102,11,1,Unfurnished,Ghodbunder Road,,2,2,1,Residential Apartment
,1250,925,165,4,1,,Manpada,Vitrified,3,3,1,Residential Apartment
621,,,41,6,,Unfurnished,Mira Road,Vitrified,2,1,1,Residential Apartment
890,,,54,12,,Unfurnished,Hatkesh Udhog Nagar,Vitrified,2,2,3,Residential Apartment
650,,390,45.51,3,,,Mira Road,Vitrified,1,1,3,Residential Apartment
666,,,45.6,6,,Unfurnished,Mira Road East,Vitrified,2,1,1,Residential Apartment
,475,375,19.75,2,2,,Desale Pada,,1,1,0,Residential Apartment
,585,485,22.52,2,2,,Sagaon,Vitrified,1,1,1,Residential Apartment
1060,,,84,10,1,Unfurnished,Kharghar,Vitrified,2,2,3,Residential Apartment
645,516,421,36.75,4,1,Unfurnished,Karanjade,Vitrified,1,1,3,Residential Apartment
,,1867,1300,12,2,Semifurnished,Bandra Kurla Complex,Marble,4,4,1,Residential Apartment
1060,689,636,87.1,20,1,Unfurnished,Mira Road East,Vitrified,2,2,3,Residential Apartment
594,,449,35.5,1,1,Unfurnished,Dombivli (East),Vitrified,1,1,1,Residential Apartment
665,,,54,9,,,Sector-9 Ulwe,Vitrified,1,1,1,Residential Apartment
,670,412,105,4,1,Furnished,Kandivali (West),Vitrified,2,1,0,Residential Apartment
600,540,440,60,2,5,Unfurnished,Uthalsar,,1,1,1,Residential Apartment
1060,800,610,82.36,16,1,Unfurnished,Mira Road East,Vitrified,2,2,3,Residential Apartment
1150,1050,850,115,14,1,Unfurnished,Sector 12 Kharghar,Vitrified,2,2,3,Residential Apartment
1055,950,850,98,12,1,Furnished,Sector 20 Kharghar,Vitrified,2,2,3,Residential Apartment
,895,615,55,7,1,Unfurnished,Dombivli (East),Vitrified,2,2,1,Residential Apartment
760,,,60.57,16,1,Furnished,Mira Road East,Vitrified,2,1,3,Residential Apartment
925,,,73.72,16,1,Furnished,Mira Road East,Vitrified,2,2,3,Residential Apartment
1400,,,112,6,1,Furnished,Mira Road East,Vitrified,3,3,3,Residential Apartment
,230,180,55,5,1,,Lower Parel West,,1,1,0,Other
,,584,36,2,2,Unfurnished,Virar West,Vitrified,2,2,1,Residential Apartment
,545,495,60,1,,Semifurnished,Manpada,Others,1,1,1,Residential Apartment
1760,1225,1150,160,12,1,Unfurnished,Sector 12 Kharghar,Vitrified,3,3,3,Residential Apartment
1875,1600,1250,126,3,1,,Sector 2 Ulwe,Vitrified,3,3,3,Residential Apartment
1290,,831,175,10,1,,Dattapada,,2,2,0,Residential Apartment
310,,,12.3,4,1,Unfurnished,Virar West,Vitrified,1,1,0,Other
590,,,22,3,2,,Morya Nagar,Vitrified,1,1,2,Residential Apartment
,380,,25.5,2,,Unfurnished,Pimpal Wadi,,1,1,1,Residential Apartment
,,450,100,3,2,,Borivali (East),Vitrified,1,2,0,Residential Apartment
,650,,48,7,1,Unfurnished,Kamothe,Marble,1,1,2,Residential Apartment
,600,580,360,12,1,,Breach Candy,,1,1,1,Residential Apartment
,1075,,154,18,1,Furnished,Majiwada,,2,2,1,Residential Apartment
,830,,74,7,1,Semifurnished,Brahmand,Vitrified,2,2,1,Residential Apartment
995,980,650,75,5,1,Unfurnished,Sector 19 Kharghar,Vitrified,2,2,2,Residential Apartment
,600,480,45,2,3,Furnished,Old Panvel,Ceramic,1,1,0,Residential Apartment
,1750,,240,4,1,,Lokhandwala township,,3,3,1,Residential Apartment
,415,296,47,2,1,Unfurnished,Dhokali,Ceramic,1,1,0,Residential Apartment
1017,990,670,92,23,2,Unfurnished,Kalyan (West),Vitrified,2,2,1,Residential Apartment
,675,,45,6,1,,Parnaka Kalyan,Vitrified,1,1,1,Residential Apartment
1050,,,65,1,1,,Khadakpada,,2,2,3,Residential Apartment
950,,700,62,2,1,Unfurnished,Sector 5 Ulwe,Vitrified,2,2,3,Residential Apartment
650,,,41,5,1,Unfurnished,Sector-34A Kharghar,Vitrified,1,1,2,Residential Apartment
1250,1200,816,215,7,2,,Andheri (East),Vitrified,2,2,1,Residential Apartment
,1396,855,175,25,1,Unfurnished,Manpada,Marble,2,2,2,Residential Apartment
,995,,250,,1,Furnished,Bhandup (East),,2,2,,Independent House/Villa
,1800,1100,56,1,2,Semifurnished,wada palghar,Vitrified,4,3,3,Independent House/Villa
960,,659,138,13,1,Semifurnished,Rajendra Nagar,Vitrified,2,2,1,Residential Apartment
1680,1620,1125,194,9,1,Semifurnished,Majiwada,Vitrified,3,3,1,Residential Apartment
,1300,1200,900,15,2,Unfurnished,Malabar Hill,,3,3,1,Residential Apartment
,,,125,2,1,Semifurnished,Virar West,Marble,3,3,0,Independent House/Villa
,1050,,80,1,,,Sector-12 Kopar Khairane,,2,2,0,Residential Apartment
1800,,1200,550,11,2,Semifurnished,Lower Parel,Vitrified,4,3,0,Residential Apartment
,650,,40.5,4,,Furnished,Kalwa,Ceramic,2,1,,Residential Apartment
1145,,,95,8,1,,Sector 11 Kamothe,Vitrified,2,2,3,Residential Apartment
900,,,130,4,1,Semifurnished,Sector 19A Nerul,Others,2,2,3,Residential Apartment
1150,1000,778,255,9,1,Semifurnished,Deonar,Vitrified,3,3,0,Residential Apartment
1060,700,621,77.91,10,1,Unfurnished,Mira Road,Vitrified,2,2,3,Residential Apartment
1030,1000,631,180,9,1,Semifurnished,Kandivali (East),Vitrified,2,2,2,Residential Apartment
822.3,,,57,3,1,,New Panvel,,1,2,3,Residential Apartment
,550,500,130,1,1,Furnished,Antop Hill,,1,2,0,Residential Apartment
,,1550,1000,6,1,Unfurnished,Breach Candy,Mosaic,3,3,2,Residential Apartment
2550,,,1500,37,,,Tardeo,,4,3,1,Residential Apartment
1800,1500,1300,425,12,1,Unfurnished,Sahar Road,Vitrified,3,3,0,Residential Apartment
,,2880,2800,,1,Semifurnished,Altamount Road,Mosaic,5,4,3,Residential Apartment
,300,,40,1,1,,Bhandup (West),,1,1,0,Independent/Builder Floor
,600,,29,7,1,Unfurnished,Vasai East,Vitrified,1,1,3,Residential Apartment
1600,1500,1338,330,30,2,Unfurnished,Goregaon (West),Marble,3,3,0,Residential Apartment
700,,,125,7,1,Semifurnished,Majiwada,Marble,2,2,3,Residential Apartment
,790,,30,4,1,,Ambernath,,2,2,2,Residential Apartment
657,,457,70,6,1,Unfurnished,Vashi,Vitrified,2,1,1,Residential Apartment
