SuperBuiltUp Area,Area,Carpet Area,Price,FloorNumber,Parking,Furnishing,Location,Flooring,Bathrooms,Bedrooms,Balconies,Property
958,900,758,88,6,1,Unfurnished,Sector-8 Kharghar,Vitrified,2,2,3,Residential Apartment
800,,610,64,4,1,Semifurnished,Mira Road,Vitrified,2,2,1,Residential Apartment
1750,1650,1163,390,9,1,Semifurnished,Powai,Vitrified,3,3,3,Residential Apartment
,,515,38,3,1,Furnished,Juni,,1,1,0,Residential Apartment
600,575,400,76.01,4,,,Thakur Village,Vitrified,2,1,0,Residential Apartment
710,650,,45,2,1,Unfurnished,Mira Road,,2,1,3,Residential Apartment
375,,245,9.75,,,Semifurnished,Palghar,Vitrified,1,1,2,Other
,1250,1065,300,7,1,Unfurnished,dhi Society Chembur,Vitrified,3,3,0,Residential Apartment
,1520,1045,290,6,1,Unfurnished,Andheri (West),Marble,3,3,1,Residential Apartment
1350,1250,900,147,4,1,,kavesar,,3,2,2,Residential Apartment
,909,,55,7,1,Unfurnished,Nilje Gaon,Vitrified,2,2,1,Residential Apartment
881,880,550,96,8,1,Unfurnished,Kasar vadavali,Ceramic,2,2,1,Residential Apartment
,1250,,190,6,1,Unfurnished,Seawoods,Vitrified,2,2,3,Residential Apartment
746,,544,185,7,2,Unfurnished,Goregaon (West),Marble,2,2,1,Residential Apartment
635,500,410,46,2,1,Unfurnished,Sector 19 Kharghar,Ceramic,1,1,2,Residential Apartment
1250,,840,375,1,1,,Vile Parle (East),,2,2,3,Residential Apartment
3500,3000,2600,1800,15,3,Furnished,Cuffe Parade,Marble,4,4,0,Residential Apartment
1173,1100,750,94.5,9,1,Unfurnished,Ulwe,Vitrified,2,2,1,Residential Apartment
,918,,56,12,,Unfurnished,Niljeaon,Vitrified,3,2,1,Residential Apartment
630,,,76,6,2,Unfurnished,Bhandup (West),Wood,1,1,0,Residential Apartment
960,900,600,335,25,1,,Hiranandani Gardens - Powai,Marble,2,2,0,Residential Apartment
,400,300,17,1,2,,NERE  NEW PANVEL,Vitrified,1,1,0,Residential Apartment
